X;Y;Z
0.2477;2.5607;115.2403
0.2404;2.4752;111.3706
0.2419;2.5118;113.3156
0.2388;2.5005;109.7512
0.2172;2.4679;102.5636
0.1898;2.442;96.0768
0.1752;2.4088;94.4154
0.1721;2.4107;102.3795
0.1786;2.4271;105.9823
0.2001;2.4826;107.4766
0.233;2.5519;115.0171
0.2457;2.6403;121.9359
0.2355;2.6673;112.5298
0.2286;2.4866;99.5946
0.2195;2.4341;100.4103
0.2156;2.473;115.5061
0.2257;2.4839;125.1383
0.2421;2.5188;121.3807
0.2606;2.5292;115.0545
0.2586;2.4919;110.6239
0.2472;2.469;112.4355
0.246;2.4899;118.4416
0.2559;2.5415;116.5105
0.2575;2.6376;109.1529
0.2468;2.6161;108.8673
0.2432;2.685;114.8538
0.2539;2.4989;125.4482
0.2613;2.5522;131.9499
0.2635;2.607;126.4992
0.2742;2.7547;118.8915
0.2698;2.6747;112.7015
0.2581;2.6477;103.3148
0.2563;2.4675;95.2367
0.2627;2.4144;94.5694
0.2632;2.414;99.3584
0.2552;2.3911;104.0578
0.2502;2.4299;103.7861
0.2488;2.396;100.7257
0.2488;2.3615;98.3074
0.2424;2.453;95.8593
0.235;2.488;99.5918
0.2441;2.4808;112.7231
0.259;2.6493;124.8323
0.2646;2.6856;132.58
0.2673;2.4383;138.2164
0.2653;2.4137;137.7086
0.2434;2.4536;127.3315
0.2275;2.4522;113.1858
0.2312;2.4539;102.2955
0.2332;2.3835;95.4391
0.2375;2.3718;89.9222
0.2505;2.4474;88.4392
0.257;2.455;91.6536
0.2523;2.4529;94.7943
0.2459;2.4573;95.0958
0.2345;2.4564;97.4647
0.225;2.4669;102.9676
0.2261;2.4695;103.5088
0.2322;2.461;97.7613
0.2371;2.4224;92.1305
0.2372;2.404;91.8497
0.2357;2.3878;96.5612
0.2385;2.3196;100.2544
0.238;2.3012;99.7177
0.2355;2.3032;98.5717
0.2397;2.3088;104.0823
0.2441;2.3914;117.2733
0.2478;2.4479;127.875
0.2536;2.4497;131.7995
0.2558;2.4178;127.7468
0.254;2.448;115.2782
0.2499;2.3864;102.9339
0.2437;2.3485;97.4246
0.2387;2.4053;99.5319
0.2346;2.4863;102.1294
0.2263;2.4833;97.2883
0.2159;2.4739;93.2749
0.2242;2.5254;96.7599
0.2447;2.409;103.353
0.2515;2.433;105.3867
0.2416;2.4087;100.0734
0.2354;2.457;94.8317
0.2254;2.4679;92.391
0.2157;2.5045;89.1448
0.2053;2.5126;85.5589
0.2011;2.414;84.0515
0.2135;2.4487;86.1533
0.2367;2.5058;89.9175
0.2412;2.5491;93.9561
0.233;2.5358;98.3867
0.2329;2.5505;102.163
0.2392;2.5231;107.4961
0.2478;2.5644;117.7872
0.2536;2.6126;128.781
0.2541;2.5777;134.4176
0.2523;2.5881;135.8065
0.2523;2.5747;134.3057
0.2586;2.5338;130.6647
0.2595;2.5284;127.5557
0.2519;2.5598;128.7121
0.2558;2.6863;136.5932
0.2633;2.6853;142.2708
0.2573;2.4985;139.3075
0.2527;2.4609;135.0851
0.2562;2.4765;134.8312
0.2558;2.5322;134.26
0.2475;2.4905;134.357
0.2462;2.4467;133.1119
0.2495;2.4576;129.7594
0.2524;2.4537;128.0924
0.2632;2.4068;126.3592
0.266;2.4223;118.0636
0.2406;2.4613;104.3976
0.2164;2.4667;94.0663
0.2069;2.475;91.2336
0.2121;2.5255;94.6637
0.2327;2.4732;105.2179
0.2515;2.4241;117.2347
0.2641;2.474;118.0841
0.2641;2.5598;109.4619
0.2608;2.5475;100.9115
0.2625;2.4596;98.8777
0.2615;2.5138;105.258
0.2611;2.4869;116.7028
0.2611;2.5143;126.7447
0.2562;2.5559;131.1435
0.2533;2.5291;125.1083
0.2513;2.4915;109.7661
0.2434;2.4214;96.6628
0.2311;2.4184;94.0747
0.2227;2.3592;98.3083
0.2161;2.3744;97.7642
0.2103;2.3885;89.869
0.2119;2.3925;84.0272
0.2186;2.416;82.6309
0.2236;2.4157;86.2253
0.2294;2.4642;93.2235
0.2339;2.4812;95.7444
0.2239;2.5105;90.6362
0.2115;2.5865;86.6527
0.1992;2.5063;84.2735
0.1864;2.4482;80.0931
0.1836;2.4074;78.3571
0.1951;2.3737;80.571
0.2156;2.3444;81.6211
0.2369;2.2969;84.8739
0.2524;2.304;95.5029
0.2541;2.3434;107.4841
0.244;2.4017;111.922
0.2384;2.3808;104.9248
0.2441;2.3597;95.3365
0.2493;2.3944;92.6552
0.2422;2.415;101.3494
0.2318;2.4117;113.38
0.2326;2.3883;114.8499
0.2429;2.4236;104.4981
0.2338;2.4249;93.9355
0.2112;2.5256;87.207
0.2008;2.6483;82.0381
0.1961;2.5594;77.5544
0.1909;2.5569;74.9756
0.1945;2.6286;75.7233
0.2019;2.6171;80.6804
0.2087;2.587;88.1547
0.215;2.4637;98.6232
0.2188;2.5897;111.2772
0.2201;2.7158;111.7025
0.2194;2.6098;97.9206
0.2142;2.5055;84.6926
0.2117;2.5249;80.2342
0.2152;2.5632;83.7119
0.2178;2.4868;89.4314
0.2214;2.4476;94.7755
0.227;2.4826;99.3713
0.2297;2.5059;100.0136
0.2372;2.4646;96.7646
0.2413;2.4942;92.3425
0.2272;2.4893;90.6092
0.2165;2.5172;94.5039
0.2194;2.5955;100.0069
0.2277;2.5688;105.0423
0.2416;2.6003;108.2036
0.2584;2.5724;109.516
0.2668;2.5396;113.8093
0.2743;2.4406;122.5257
0.2745;2.472;130.4657
0.2608;2.488;130.5461
0.2552;2.4646;123.451
0.2553;2.4537;112.9602
0.2407;2.4596;100.0567
0.2243;2.4549;91.8152
0.2189;2.5351;90.7259
0.2254;2.5062;97.1873
0.2475;2.458;114.8854
0.2666;2.464;133.2694
0.2656;2.4353;139.8413
0.2623;2.4472;139.6519
0.2571;2.4251;135.981
0.2494;2.387;130.1533
0.2514;2.368;128.896
0.2544;2.4516;130.9064
0.2509;2.5591;131.3787
0.2481;2.5734;131.2975
0.2462;2.5192;132.6247
0.2359;2.5213;133.6085
0.2274;2.473;134.1965
0.2338;2.5279;134.6762
0.243;2.5079;134.3589
0.2455;2.498;135.2521
0.2439;2.5628;135.5405
0.2486;2.5192;135.9082
0.259;2.4657;137.7339
0.2696;2.4902;136.6419
0.271;2.4892;135.5153
0.2681;2.5026;135.604
0.2674;2.5281;138.5664
0.2664;2.5398;139.51
0.2591;2.5812;138.4292
0.2611;2.5485;134.6744
0.2702;2.5325;130.7982
0.2685;2.4732;130.6927
0.2657;2.4493;130.1131
0.2621;2.466;125.2578
0.2577;2.4672;120.0339
0.2574;2.4945;119.4673
0.2535;2.4978;121.7046
0.2546;2.5279;124.8621
0.2695;2.5332;130.5938
0.2847;2.573;136.6745
0.2783;2.5212;140.7831
0.2637;2.5315;140.6291
0.265;2.5381;134.9516
0.2768;2.4752;127.9384
0.2872;2.489;125.4128
0.2822;2.4898;128.1923
0.2682;2.5385;129.3207
0.2475;2.5282;125.1122
0.229;2.5667;123.6039
0.2285;2.6014;128.2941
0.246;2.6595;135.8075
0.2658;2.6942;143.2705
0.2582;2.5524;146.1536
0.2653;2.4502;147.3559
0.2836;2.5366;151.6903
0.2896;2.5364;159.6471
0.2919;2.5554;166.7713
0.2973;2.5928;169.4173
0.3095;2.5814;171.4987
0.3245;2.5658;174.9418
0.3213;2.5076;175.1564
0.2979;2.5259;169.3696
0.2858;2.6071;161.7088
0.2963;2.5815;159.1057
0.3056;2.5557;156.9739
0.3103;2.4807;155.0708
0.3225;2.4838;155.7195
0.325;2.4679;157.9147
0.314;2.4572;157.0437
0.3088;2.4706;147.9053
0.3064;2.4446;136.8284
0.2926;2.4489;131.0306
0.2787;2.4614;132.3635
0.2824;2.4174;135.3286
0.2802;2.4154;134.1377
0.2797;2.3574;132.7704
0.2891;2.4543;137.61
0.3003;2.4363;144.7082
0.3132;2.4309;156.3856
0.3318;2.4373;183.8876
0.3359;2.4556;214.1128
0.3145;2.4503;226.9065
0.2957;2.4527;216.2178
0.3057;2.4391;204.4956
0.3251;2.4027;206.3583
0.3135;2.3918;212.8766
0.2955;2.4722;215.9214
0.2995;2.5271;225.8165
0.3096;2.5454;242.8807
0.32;2.3717;247.4739
0.3261;2.4246;238.5319
0.3249;2.4529;228.28
0.3272;2.4237;218.9241
0.335;2.4513;210.1096
0.3352;2.5554;207.5521
0.3307;2.5787;215.3417
0.3279;2.5529;220.8652
0.3316;2.3855;217.3458
0.345;2.2998;226.68
0.3483;2.2519;243.7077
0.3351;2.3654;254.601
0.34;2.3698;267.5866
0.3617;2.3875;279.792
0.3717;2.3828;283.6356
0.3617;2.3798;276.982
0.3311;2.4;266.7478
0.3107;2.4623;258.2945
0.3138;2.3722;250.4488
0.338;2.4251;242.3837
0.3625;2.4396;231.3964
0.3597;2.4859;215.4204
0.3394;2.5356;202.4496
0.3189;2.565;197.3553
0.3064;2.5215;195.776
0.3096;2.5742;196.9342
0.3232;2.5794;200.9561
0.3534;2.3474;216.082
0.3947;2.2722;248.0667
0.4025;2.2753;279.7358
0.3678;2.2446;290.884
0.3375;2.2859;292.6184
0.3368;2.2817;313.8707
0.363;2.2579;361.3266
0.3822;2.3168;419.5542
0.356;2.2912;456.0804
0.2782;2.3176;406.3557
0.2459;2.4023;301.8466
0.2506;2.3557;244.6241
0.2666;2.2166;251.903
0.2756;2.1824;268.6443
0.2894;2.2777;286.9642
0.3141;2.3262;334.1438
0.3378;2.3478;374.9048
0.343;2.3188;379.7209
0.3603;2.238;369.0305
0.3866;2.2211;362.7473
0.3884;2.2436;366.7112
0.3653;2.262;366.1809
0.3459;2.2333;356.6514
0.3395;2.2873;342.0912
0.3486;2.2879;320.0091
0.3699;2.205;297.3297
0.3692;2.216;288.197
0.3431;2.2546;290.1906
0.3462;2.2374;296.2528
0.3795;2.2499;308.3107
0.4092;2.1998;316.0052
0.4137;2.246;314.3774
0.3849;2.1941;316.3133
0.3541;2.1266;324.8235
0.3524;2.0933;333.3093
0.3632;2.1212;326.6872
0.3802;2.1286;315.6776
0.4031;2.1305;310.4619
0.4155;2.1767;305.1129
0.396;2.198;296.2825
0.372;2.2108;290.9045
0.3818;2.1894;287.5015
0.4113;2.1687;279.3404
0.4186;2.1382;272.7324
0.406;2.1734;271.2324
0.3983;2.25;261.964
0.3847;2.2776;238.142
0.379;2.3442;210.7187
0.3853;2.3589;198.0133
0.3875;2.3108;201.6711
0.3727;2.2613;207.9776
0.359;2.298;206.7904
0.3611;2.2806;205.0134
0.3769;2.2602;211.1475
0.3912;2.2183;218.8557
0.3812;2.2206;214.6461
0.3617;2.2144;202.7011
0.3523;2.2083;189.4102
0.3356;2.3063;176.6291
0.3225;2.3539;166.5274
0.3261;2.2722;157.2314
0.3302;2.2699;154.1897
0.331;2.3321;154.7003
0.3196;2.3295;155.436
0.3026;2.3605;162.5013
0.3029;2.3349;168.188
0.3068;2.3308;165.0799
0.2944;2.3299;161.2917
0.288;2.2979;167.0334
0.3007;2.2557;180.7236
0.3143;2.3135;190.029
0.3132;2.3245;178.4299
0.3079;2.3118;161.11
0.299;2.3541;159.0628
0.2957;2.3738;161.704
0.3001;2.4144;154.0648
0.3103;2.4321;145.8169
0.3151;2.428;140.1943
0.3089;2.4247;135.9401
0.301;2.4151;138.5039
0.2923;2.4103;141.3729
0.2846;2.4113;136.2266
0.282;2.3159;131.8259
0.2787;2.3216;136.3664
0.2817;2.3255;142.0412
0.297;2.2952;141.5354
0.315;2.2707;140.3015
0.3241;2.298;144.018
0.3245;2.3329;142.8869
0.3169;2.3637;138.4452
0.3166;2.3571;135.6134
0.327;2.3276;136.9854
0.3334;2.3052;143.5299
0.3322;2.2644;151.3093
0.3325;2.2138;157.9883
0.3422;2.287;162.4227
0.352;2.3502;164.1607
0.3372;2.3924;162.7429
0.3155;2.384;154.4949
0.3191;2.3497;143.6813
0.3249;2.3286;139.2012
0.3185;2.26;143.348
0.324;2.3101;151.9869
0.3204;2.3547;153.6072
0.2942;2.3515;143.2677
0.2847;2.3718;128.8411
0.2879;2.3066;120.0508
0.292;2.2995;120.3857
0.3111;2.3405;126.2929
0.3388;2.2878;133.7429
0.3605;2.2469;144.4316
0.3713;2.2274;155.3695
0.3581;2.2747;160.7809
0.3494;2.3151;155.4152
0.3504;2.3651;147.1084
0.3358;2.4096;140.8578
0.3182;2.3654;137.1813
0.3086;2.3345;134.456
0.3149;2.3847;134.9097
0.3233;2.4895;147.6191
0.3313;2.3812;166.7115
0.3435;2.3522;177.2593
0.3535;2.3594;176.2914
0.3565;2.3012;172.0634
0.3443;2.2888;170.3534
0.3304;2.2509;174.7411
0.3388;2.2443;181.0039
0.3516;2.2494;183.0582
0.3437;2.2962;177.7772
0.3382;2.3988;166.564
0.3454;2.4184;160.4554
0.3549;2.3259;166.2925
0.3532;2.2836;171.1617
0.3488;2.2028;167.6833
0.3618;2.1937;174.1254
0.3873;2.269;197.7614
0.3987;2.3818;218.208
0.3889;2.5794;212.4266
0.3783;2.5651;184.5521
0.3562;2.3422;158.3058
0.3473;2.2803;156.2114
0.3537;2.2743;157.5423
0.3621;2.2693;159.5527
0.3496;2.3178;157.7401
0.3214;2.3225;152.5275
0.2993;2.3722;149.1934
0.2686;2.4816;144.7263
0.2386;2.5607;132.9617
0.2356;2.6557;130.2945
0.2548;2.7827;145.0097
0.273;2.635;160.9641
0.284;2.5824;167.1689
0.2912;2.3924;165.2498
0.3091;2.4396;158.8163
0.3278;2.4524;156.2543
0.3242;2.4346;154.8047
0.3067;2.5;149.0964
0.3049;2.5161;145.6544
0.3173;2.5868;148.3751
0.3347;2.6786;151.3438
0.3232;2.5182;147.4303
0.2965;2.416;142.3194
0.2899;2.4366;143.1866
0.2917;2.5161;146.5512
0.294;2.5548;147.7944
0.3013;2.5904;148.8239
0.3004;2.6822;147.5014
0.3019;2.5671;143.2462
0.2839;2.6147;127.5999
0.2566;2.5371;105.547
0.2513;2.4766;104.6096
0.271;2.4827;128.0209
0.2968;2.4577;135.125
0.3089;2.4227;139.9299
0.3132;2.445;146.7834
0.304;2.4666;147.9867
0.2943;2.4552;146.5858
0.2975;2.442;148.9536
0.3185;2.3529;149.5322
0.3171;2.3704;142.0181
0.2963;2.4104;138.1849
0.3013;2.4377;147.7253
0.3221;2.4086;157.6728
0.3386;2.4011;157.9147
0.3446;2.4387;157.9548
0.3319;2.4627;157.8363
0.3169;2.4456;153.9424
0.3048;2.4193;147.1263
0.3005;2.5192;143.8978
0.3076;2.6114;143.0157
0.3164;2.6649;140.5172
0.3137;2.5865;143.1333
0.3026;2.4818;144.8748
0.2987;2.4922;142.8449
0.3033;2.4955;140.9315
0.303;2.4625;138.8007
0.2982;2.5005;135.5452
0.3003;2.5272;134.9917
0.3022;2.4647;139.7789
0.2975;2.5083;146.706
0.2935;2.5271;149.1777
0.2856;2.5072;150.6243
0.2786;2.5088;149.1478
0.2742;2.4564;149.2971
0.2856;2.4117;153.6801
0.3044;2.4118;158.4421
0.3162;2.4317;161.0172
0.3286;2.4133;164.4734
0.3292;2.4436;166.7759
0.3159;2.4693;164.941
0.3098;2.5065;162.7569
0.3128;2.4687;164.2158
0.3159;2.402;165.0614
0.3129;2.3745;162.084
0.3142;2.3045;159.2009
0.3233;2.2868;157.9997
0.329;2.3281;153.5401
0.3335;2.3652;147.2718
0.3189;2.4264;147.6936
0.3165;2.4301;151.8657
0.336;2.4128;156.2926
0.336;2.3792;153.3533
0.3072;2.3791;144.0844
0.2866;2.4639;137.663
0.2951;2.4413;136.9928
0.3093;2.4679;140.8233
0.3055;2.4177;142.1691
0.2954;2.433;139.805
0.2908;2.4434;143.0101
0.2906;2.4685;148.4888
0.2929;2.4559;150.2921
0.2941;2.4587;155.1053
0.2869;2.5229;151.3979
0.284;2.5464;134.4941
0.2986;2.4883;125.5184
0.3073;2.5381;144.3551
0.3077;2.572;153.3591
0.3152;2.6081;154.6928
0.3253;2.5461;151.8368
0.3338;2.3711;149.6471
0.3454;2.4269;150.7195
0.3535;2.4946;152.3025
0.3752;2.453;152.9026
0.3949;2.4113;152.3109
0.3669;2.3687;151.2329
0.3329;2.3398;149.2794
