formula,formula_with_coefficients,params_num,r2,adj_r2,std_err,max_err,f_stat,func_type,n_dims
z=(A+Bx+Cx^2+Dx^3+Ey+Fy^2)/(1+Gx+Hy+Iy^2+Jy^3),z=(3247.2-9284.1x+38255x^2-56463x^3-2081.9y+446.55y^2)/(1-7.5924x+7.8992y-6.2772y^2+1.3163y^3),10,0.49953,0.4433,10.321,24.761,8.8833,simple,3
z=(A+Bx+Cx^2+Dx^3+Ey+Fy^2)/(1+Gx+Hy+Iy^2+Jy^3),z=(3247.2-9284.1x+38255x^2-56463x^3-2081.9y+446.55y^2)/(1-7.5924x+7.8992y-6.2772y^2+1.3163y^3),10,0.49953,0.4433,10.321,24.761,8.8833,simple,3
z=(A+Clnx+Ey+G(lnx)^2+Iy^2+Kylnx)/(1+Blnx+Dy+F(lnx)^2+Hy^2+Jylnx),z=(-196.38-516.78lnx-367.62y+1872.6(lnx)^2+692.9y^2+2165.9ylnx)/(1+3.3668lnx-1.0416y+20.597(lnx)^2+5.9621y^2+20.303ylnx),11,0.48412,0.41964,10.538,24.818,7.5075,simple,3
z=(A+Clnx+Ey+G(lnx)^2+Iy^2+Kylnx)/(1+Blnx+Dy+F(lnx)^2+Hy^2+Jylnx),z=(-196.38-516.78lnx-367.62y+1872.6(lnx)^2+692.9y^2+2165.9ylnx)/(1+3.3668lnx-1.0416y+20.597(lnx)^2+5.9621y^2+20.303ylnx),11,0.48412,0.41964,10.538,24.818,7.5075,simple,3
z=(A+Bx+Cx^2+Dx^3+Ey)/(1+Fx+Gy),z=(725.41-9846.5x+40878x^2-60841x^3+59.807y)/(1-8.1032x+0.47218y),7,0.48108,0.4416,10.337,24.981,12.185,simple,3
z=(A+Bx+Cx^2+Dx^3+Ey)/(1+Fx+Gy),z=(725.41-9846.5x+40878x^2-60841x^3+59.807y)/(1-8.1032x+0.47218y),7,0.48108,0.4416,10.337,24.981,12.185,simple,3
z=(A+Bx+Cy+Dy^2)/(1+Ex+Fx^2+Gx^3+Hy),z=(25378-308292x+25815y-1082.2y^2)/(1+4881.9x-43946x^2+75185x^3+161.64y),8,0.45886,0.41129,10.613,23.386,9.6456,simple,3
z=(A+Bx+Cy+Dy^2)/(1+Ex+Fx^2+Gx^3+Hy),z=(25378-308292x+25815y-1082.2y^2)/(1+4881.9x-43946x^2+75185x^3+161.64y),8,0.45886,0.41129,10.613,23.386,9.6456,simple,3
z=(A+Bx+Cy)/(1+Dx+Ex^2+Fx^3+Gy),z=(23936-264946x+19061y)/(1+3787.8x-36003x^2+62080x^3+151.82y),7,0.45815,0.41693,10.563,23.293,11.113,simple,3
z=(A+Bx+Cy)/(1+Dx+Ex^2+Fx^3+Gy),z=(23936-264946x+19061y)/(1+3787.8x-36003x^2+62080x^3+151.82y),7,0.45815,0.41693,10.563,23.293,11.113,simple,3
z=(A+Cx+Elny+Gx^2+I(lny)^2+Kxlny)/(1+Bx+Dlny+Fx^2+H(lny)^2+Jxlny),z=(101.31-271.96x-142.5lny-92.574x^2+29.421(lny)^2+343.15xlny)/(1-2.4914x-1.4526lny-0.96332x^2+0.34055(lny)^2+3.189xlny),11,0.45782,0.39005,10.803,23.592,6.7554,simple,3
z=(A+Cx+Elny+Gx^2+I(lny)^2+Kxlny)/(1+Bx+Dlny+Fx^2+H(lny)^2+Jxlny),z=(101.31-271.96x-142.5lny-92.574x^2+29.421(lny)^2+343.15xlny)/(1-2.4914x-1.4526lny-0.96332x^2+0.34055(lny)^2+3.189xlny),11,0.45782,0.39005,10.803,23.592,6.7554,simple,3
